Country Name,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022
Guinea,GIN,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906,13859341
Gambia,GMB,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916,2705992
Guinea-Bissau,GNB,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721,2105566
Equatorial Guinea,GNQ,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466,1674908
Greece,GRC,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10641221,10566531
Grenada,GRD,117972,118980,119966,120921,121838,122724,123663,124610,125438
Greenland,GRL,56295,56114,56186,56172,56023,56225,56367,56653,56661
Guatemala,GTM,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746,17357886
Guam,GUM,167543,167978,168346,168606,168678,168624,169231,170534,171774
Guyana,GUY,751115,755031,759087,763252,785514,798753,797202,804567,808726
High income,HIC,1205686277,1212444178,1219354936,1225545879,1231512170,1236715327,1241726323,1241269526,1244899026
Hong Kong SAR,HKG,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100
Honduras,HND,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345,10432860
Heavily indebted poor countries (HIPC),HPC,706617213,727129254,748356635,770390212,792615894,815100831,838066650,861156745,884288332
Croatia,HRV,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3879000,3854000
Haiti,HTI,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569,11584996
Hungary,HUN,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9683505
IBRD only,IBD,4617515110,4665080901,4710745609,4755029370,4795958028,4833831131,4867842440,4895306842,4914355242
IDA & IBRD total,IBT,6161220418,6241658900,6321546801,6401430493,6479097568,6554880543,6628068247,6695340280,6754326592
IDA total,IDA,1543705308,1576577999,1610801192,1646401123,1683139540,1721049412,1760225807,1800033438,1839971350
IDA blend,IDB,516900084,527175885,537358412,547984961,559155599,570633332,582637127,595016031,607735968
Indonesia,IDN,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339
IDA only,IDX,1026805224,1049402114,1073442780,1098416162,1123983941,1150416080,1177588680,1205017407,1232235382
Isle of Man,IMN,83896,83593,83450,83580,83775,83933,84046,84263,84519
India,IND,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173
Ireland,IRL,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033165,5086988
Iran,IRN,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432,88550570
Iraq,IRQ,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592,44496122
Iceland,ISL,327386,330815,335439,343400,352721,360563,366463,372520,381900
Israel,ISR,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9364700,9550600
Italy,ITA,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59109668,58856847
Jamaica,JAM,2784543,2794445,2802695,2808376,2811835,2813773,2820436,2827695,2827377
Jordan,JOR,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278,11285869
Japan,JPN,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989
Kazakhstan,KAZ,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19000988,19621972
Kenya,KEN,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614,54027487
Kyrgyz Republic,KGZ,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6691800,6803300
Cambodia,KHM,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023,16767842
Kiribati,KIR,114985,116707,118513,120362,122261,124241,126463,128874,131232
St. Kitts and Nevis,KNA,47789,47790,47788,47785,47761,47712,47642,47606,47657
Korea,KOR,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117
