Country Name,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,103594,104257,104874,105439,105962,106442,106585,106537,106445
Africa Eastern and Southern,AFE,583651101,600008424,616377605,632746570,649757148,667242986,685112979,702977106,720839314
Afghanistan,AFG,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Africa Western and Central,AFW,397855507,408690375,419778384,431138704,442646825,454306063,466189102,478185907,490330870
Angola,AGO,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774,35588987
Albania,ALB,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2775634
Andorra,AND,71621,71746,72540,73837,75013,76343,77700,79034,79824
Arab World,ARB,397922915,406501999,415077960,423664839,432545676,441467739,449228296,456520777,464684914
United Arab Emirates,ARE,8835951,8916899,8994263,9068296,9140169,9211657,9287289,9365145,9441129
Argentina,ARG,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46234830
Armenia,ARM,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469
American Samoa,ASM,52217,51368,50448,49463,48424,47321,46189,45035,44273
Antigua and Barbuda,ATG,89236,89941,90564,91119,91626,92117,92664,93219,93763
Australia,AUS,23475686,23815995,24190907,24594202,24966643,25340217,25655289,25688079,25978935
Austria,AUT,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9042528
Azerbaijan,AZE,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10175016
Burundi,BDI,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213,12889576
Belgium,BEL,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11592952,11669446
Benin,BEN,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895,13352864
Burkina Faso,BFA,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683,22673762
Bangladesh,BGD,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372
Bulgaria,BGR,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6465097
Bahrain,BHR,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,1472233
Bahamas,BHS,389131,392697,395976,399020,401906,404557,406471,407906,409984
Bosnia and Herzegovina,BIH,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943,3233526
Belarus,BLR,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9208701
Belize,BLZ,352335,359871,367313,374693,382066,389095,394921,400031,405272
Bermuda,BMU,65138,65237,64554,63873,63918,63911,63893,63764,63532
Bolivia,BOL,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472,12224110
Brazil,BRA,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,215313498
Barbados,BRB,277493,278083,278649,279187,279688,280180,280693,281200,281635
Brunei Darussalam,BRN,416656,421437,425994,430276,434274,438048,441725,445373,449002
Bhutan,BTN,736357,743274,749761,756121,762096,767459,772506,777486,782455
Botswana,BWA,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423,2630296
Central African Republic,CAF,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154,5579144
Canada,CAN,35437435,35702908,36109487,36545236,37065084,37601230,38007166,38226498,38929902
Central Europe and the Baltics,CEB,103496179,103257886,102994278,102740078,102538451,102398537,102180124,101410997,100648571
Switzerland,CHE,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8703405,8769741
